state,x,y
Andhra Pradesh,-77,-150
Arunachal Pradesh,238,150
Assam,208,110
Bihar,62,99
Chhattisgarh,-13,0
Goa,-185,-140
Gujarat,-250,10
Haryana,-127,160
Himachal Pradesh,-110,237
Jharkhand,53,49
Karnataka,-151,-167
Kerala,-132,-269
Madhya Pradesh,-81,37
Maharashtra,-154,-45
Manipur,239,81
Meghalaya,173,93
Mizoram,230,48
Nagaland,255,120
Odisha,44,-19
Punjab,-140,205
Rajasthan,-199,120
Sikkim,116,135
Tamil Nadu,-83,-239
Telangana,-78,-83
Tripura,186,54
Uttar Pradesh,-32,115
Uttarakhand,-62,196
West Bengal,116,33
Andaman And Nicobar Islands,210,-202
Chandigarh,-118,195
Dadra And Nagar Haveli And Daman And Diu,-199,-23
New Delhi,-115,145
Ladakh,-90,299
Lakshadweep,-235,-230
Puducherry,-54,-211
Jammu And Kashmir,-154,270
